geography type,code,description,2013,2014,2015,2016,2017
Statistical_Area_402,140100,Orakei East,33,30,27,27,33
Statistical_Area_403,140200,Epsom Central-North,24,27,18,24,30
Statistical_Area_404,140300,Mount St John,54,54,75,63,72
Statistical_Area_405,140400,Mount Roskill Central Nor,15,24,21,18,21
Statistical_Area_406,140500,Remuera North,15,15,12,6,12
Statistical_Area_407,140600,Three Kings West,6,12,6,9,12
Statistical_Area_408,140700,Mount Roskill Central Sou,9,12,18,18,6
Statistical_Area_409,140800,Epsom Central-South,12,9,9,18,12
Statistical_Area_410,140900,Lynfield South,24,9,15,9,15
Statistical_Area_411,141000,Remuera South,18,15,24,21,12
Statistical_Area_412,141100,Mission Bay,21,30,24,12,33
Statistical_Area_413,141200,Three Kings East,3,3,0,3,0
Statistical_Area_414,141300,Mount Roskill South,24,15,21,18,27
Statistical_Area_415,141400,Inlet Manukau Harbour,0,0,0,0,0
Statistical_Area_416,141500,Epsom East,27,33,30,39,30
Statistical_Area_417,141600,Remuera Waiata,15,6,12,12,12
Statistical_Area_418,141700,Epsom South,12,6,9,9,15
Statistical_Area_419,141800,Kohimarama,15,24,24,24,18
Statistical_Area_420,141900,Meadowbank West,30,27,9,12,3
Statistical_Area_421,142000,Hillsborough North (Auckl,75,57,75,63,57
Statistical_Area_422,142100,Hillsborough West (Auckla,15,24,12,12,15
Statistical_Area_423,142200,Greenlane North,12,21,12,18,12
Statistical_Area_424,142300,Waikowhai North,21,9,15,15,12
Statistical_Area_425,142400,Remuera East,69,81,84,75,39
Statistical_Area_426,142500,Waikowhai South,3,3,9,6,6
Statistical_Area_427,142600,Royal Oak West (Auckland),36,30,39,39,36
Statistical_Area_428,142700,Saint Heliers West,18,12,21,15,21
Statistical_Area_429,142800,One Tree Hill,18,18,21,24,21
Statistical_Area_430,142900,Hillsborough East (Auckla,3,6,6,6,12
Statistical_Area_431,143000,Saint Heliers North,24,12,21,12,15
Statistical_Area_432,143100,Remuera Abbotts Park,15,18,27,12,18
Statistical_Area_433,143200,Meadowbank East,6,9,12,9,6
Statistical_Area_434,143300,Ellerslie Central,42,42,45,30,48
Statistical_Area_435,143400,Royal Oak East (Auckland),24,24,12,18,21
Statistical_Area_436,143500,Saint Heliers South,36,51,54,48,60
Statistical_Area_437,143600,Hillsborough South (Auckl,30,30,18,12,18
Statistical_Area_438,143700,Saint Johns West,24,24,30,21,27
Statistical_Area_439,143800,Greenlane South,12,15,9,6,6
Statistical_Area_440,143900,Remuera Waiatarua,6,3,6,9,6
Statistical_Area_441,144000,Glendowie North,12,12,18,9,9
Statistical_Area_442,144100,Onehunga West,15,18,18,12,15
